energy_uj,cpu,commit_hash,repo,branch,workflow,run_id,label,source,cpu_util_avg,duration_us,workflow_name,filter_type,filter_project,filter_machine,filter_tags,lat,lon,city,ip,carbon_intensity_g,carbon_ug,start_time,min_carbon_intensity_g,min_carbon_intensity_time
3433080000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804488,13448131615,Perform CodeQL Analysis,github,34.4158,767697318,CodeQL,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,4.227.174.70,457.0,1787952,2025-02-21 19:18:45+00:00,457.0,24.0
6065370000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804500,13463705148,Daily Update Cache,github,32.0116,1418872335,Update cached database,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,74.235.134.181,457.0,3176697,2025-02-21 19:18:49+00:00,457.0,24.0
9224370000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Build gProfiler executable x86,github,91.4497,1233836364,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.169.14.18,97.0,1246795,2025-02-22 20:25:38+00:00,96.0,23.0
88728300,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Build container x86,github,33.319,20963450,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,20.102.223.137,383.0,39963,2025-02-22 20:46:28+00:00,382.0,22.0
3913590000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,37.0467,855665110,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,172.183.54.0,383.0,1743039,2025-02-22 20:46:28+00:00,382.0,22.0
3931970000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,37.1448,859029678,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,52.234.154.194,383.0,1751037,2025-02-22 20:46:28+00:00,382.0,22.0
4029020000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,37.6223,875381231,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,20.81.159.114,383.0,1792872,2025-02-22 20:46:29+00:00,382.0,22.0
4006850000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,37.187,875063394,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,20.97.191.18,383.0,1784290,2025-02-22 20:46:30+00:00,382.0,22.0
4058710000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,36.9458,886878503,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,4.227.114.227,97.0,646733,2025-02-22 20:46:30+00:00,96.0,23.0
4079670000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,36.8892,892137951,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],37.3388,-121.8916,San Jose,52.225.77.67,69.0,536037,2025-02-22 20:46:29+00:00,69.0,23.0
4083720000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,37.1781,890333934,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,4.227.114.228,97.0,650144,2025-02-22 20:46:31+00:00,96.0,23.0
4078740000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,36.85,892805095,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.172.25.224,97.0,650368,2025-02-22 20:46:31+00:00,96.0,23.0
4097740000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,37.1494,894591978,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,4.227.114.224,97.0,652719,2025-02-22 20:46:31+00:00,96.0,23.0
4143149999,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,37.8687,898649749,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],41.8835,-87.6305,Chicago,172.183.54.2,383.0,1843223,2025-02-22 20:46:29+00:00,382.0,22.0
4226340000,EPYC_7763,fbb3cd8c4fd7c454b14a4dab404ff5aed0635ff4,DaxLynch/gprofiler,master,145676311,13476297754,Run gProfiler tests x86,github,39.0491,906120647,"Build, test and deploy",machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,74.249.5.115,383.0,1877216,2025-02-22 20:46:28+00:00,382.0,22.0
